,symbol
1700,HYZD
1701,HZBRF
1702,HZNSF
1703,HZOZD
1704,HZOZF
1705,IAACF
1706,IAGG
1707,IAI
1708,IAK
1709,IAPR
1710,IAT
1711,IAU
1712,IAUF
1713,IAUM
1714,IBB
1715,IBBQ
1716,IBCD
1717,IBCE
1718,IBD
1719,IBDC
1720,IBDD
1721,IBDF
1722,IBDK
1723,IBDL
1724,IBDM
1725,IBDN
1726,IBDO
1727,IBDP
1728,IBDQ
1729,IBDR
1730,IBDS
1731,IBDT
1732,IBDU
1733,IBDV
1734,IBDW
1735,IBDX
1736,IBDY
1737,IBET
1738,IBGAF
1739,IBHA
1740,IBHB
1741,IBHC
1742,IBHD
1743,IBHE
1744,IBHF
1745,IBHG
1746,IBHH
1747,IBHI
1748,IBHJ
1749,IBIA
1750,IBIB
1751,IBIC
1752,IBID
1753,IBIE
1754,IBIF
1755,IBIG
1756,IBIH
1757,IBII
1758,IBIJ
1759,IBIT
1760,IBLC
1761,IBLN
1762,IBMI
1763,IBMJ
1764,IBMK
1765,IBML
1766,IBMM
1767,IBMN
1768,IBMO
1769,IBMP
1770,IBMQ
1771,IBMR
1772,IBND
1773,IBOT
1774,IBRN
1775,IBTB
1776,IBTD
1777,IBTE
1778,IBTF
1779,IBTG
1780,IBTH
1781,IBTI
1782,IBTJ
1783,IBTK
1784,IBTL
1785,IBTM
1786,IBTO
1787,IBUY
1788,ICAP
1789,ICBIF
1790,ICF
1791,ICLN
1792,ICLO
1793,ICNGF
1794,ICOL
1795,ICOP
1796,ICOW
1797,ICSH
1798,ICVT
1799,IDAT
1800,IDEV
1801,IDHD
1802,IDHQ
1803,IDIV
1804,IDLB
1805,IDLV
1806,IDME
1807,IDMO
1808,IDNA
1809,IDOG
1810,IDRV
1811,IDSEF
1812,IDU
1813,IDUB
1814,IDV
1815,IDVO
1816,IDX
1817,IDY
1818,IECS
1819,IEDGF
1820,IEDI
1821,IEF
1822,IEFA
1823,IEFN
1824,IEHS
1825,IEI
1826,IEIH
1827,IEMBF
1828,IEMD
1829,IEME
1830,IEMG
1831,IEMIF
1832,IEMMF
1833,IEMV
1834,IEMWF
1835,IEMXF
1836,IEO
1837,IERNF
1838,IETC
1839,IEUR
1840,IEUS
1841,IEV
1842,IEZ
1843,IFED
1844,IFEU
1845,IFGL
1846,IFIX
1847,IFLY
1848,IFRA
1849,IFV
1850,IG
1851,IGBH
1852,IGBSF
1853,IGCHF
1854,IGE
1855,IGEB
1856,IGF
1857,IGHG
1858,IGIB
1859,IGIH
